name,addr:postcode,operator,website,_region,latitude,longitude
Mount Pleasant Road Primary School Oval,,,,Melbourne NE,-37.82902952431791,145.18119801628177
St. James Park,,,https://www.boroondara.vic.gov.au/recreation-arts/parks-and-gardens/st-james-park,Melbourne NE,-37.8200008838196,145.02127154953598
Olinda Green Oval,,,,Melbourne NE,-37.854272871988904,145.3742981489443
Stintons Reserve Oval,,,,Melbourne NE,-37.76725294701857,145.20411750549786
Diamond Creek Football Club,,,,Melbourne NE,-37.672516904445686,145.15599896823008
Warrandyte Football Club,3113,,https://www.warrandytefc.com/,Melbourne NE,-37.74615099929949,145.20747418778626
Coventry Oval,,,,Melbourne NE,-37.6722751152846,145.15492688664776
Marngrook Oval,,,,Melbourne NE,-37.67426375310383,145.1542884506452
Blackburn Football Club,,,,Melbourne NE,-37.821395057280895,145.15621213967057
Bayswater Football Club,,Knox City Council,,Melbourne NE,-37.83686199014731,145.26901858846378
Barwon Heads Football Club,,,,Melbourne SW,-38.2869596572778,144.49520612159415
Oval,,,,Melbourne SW,-38.18836225372612,144.55932929797385
Ron Evans Oval,,,,Melbourne SW,-38.11378781561164,144.64495694887643
Queenscliff Recreation Reserve,,,,Melbourne SW,-38.27245854219421,144.6565579787976
Drysdale Reserve Football Club,,,https://www.drysdalefc.com.au/,Melbourne SW,-38.17462884247305,144.56190904916585
Ray Menzies Oval,,,,Melbourne SW,-38.25927360375037,144.53822766879057
The Fitzroy Shop,3195,,www.fitzroyfc.com.au,Melbourne SE,-38.00544109999999,145.08629489999998
Narre Warren Football Club,,,,Melbourne SE,-37.9917449,145.304803
Phillip Island Football Club,,,,Melbourne SE,-38.4512824,145.24630929999998
Berwick Football Club,,,,Melbourne SE,-38.0286123,145.3639783
Kinetic Stadium,,,,Melbourne SE,-38.147596699999994,145.1203374
Beaconsfield Football Club,,,https://www.beaconsfieldfc.com/,Melbourne SE,-38.0370566,145.3728598
Warwick Bayley Oval,,,,Melbourne SE,-38.06474593092344,145.46122305860536
Warwick Bayley Oval,,,,Melbourne SE,-38.06674147922153,145.46047145058532
Narre Warren Football Club,,,,Melbourne SE,-37.99117876931481,145.30540422331882
Hallam Recreation Reserve,,,,Melbourne SE,-38.002117792986134,145.27000119220227
Oval 5 - Premier Cricket/Junior Football,,,,Melbourne SE,-38.12326151001371,145.31419798280757
Oval 2,,,,Melbourne SE,-38.12107781630727,145.3107774223981
Oval 1 - VFL Football,,,,Melbourne SE,-38.11893241623579,145.31012281936904
Oval 3 - Football/Cricket,,,,Melbourne SE,-38.122524429906925,145.31206974949677
Oval 4 - Premier Cricket/Junior Football,,,,Melbourne SE,-38.121697254917166,145.31525268191174
Rendall Oval,,,,Melbourne SE,-37.99552141000344,145.14499295319803
Reserve 2,,,,Melbourne SE,-38.07372747148985,145.3369425285115
Thomas Barclay Oval,,,,Melbourne SE,-38.296039694618564,145.1874289765656
Tyabb North Sports Ground,,,,Melbourne SE,-38.29761599887082,145.1871758828733
Nar Nar Goon Oval,,,,Melbourne SE,-38.08412721032093,145.5732076808694
Noble Park Football Social Club,,,,Melbourne SE,-37.977530551698734,145.1697423586564
Oval 1,,,,Melbourne SE,-38.148666461990565,145.18953115668333
Oval 2,,,,Melbourne SE,-38.14819490703317,145.19150374135
Oval 3,,,,Melbourne SE,-38.14938090314594,145.19231151080038
Keysborough Football Club,,,,Melbourne SE,-37.99517214958911,145.16821143660349
RM Hooper Park,,,,Melbourne SE,-38.28573254018645,145.1379313199415
Skye Prmary School Public Oval,,,,Melbourne SE,-38.11658407254217,145.20095153636726
Kennedy Community Centre,,Hawthorn Football Club,,Melbourne SE,-37.96592434315118,145.121828283586
Hogben-Meckiff Oval,,,,Melbourne SE,-37.98502748993176,145.06302916842367
Langwarrin Junior Football Club,3910,,https://www.langyjfc.com.au/,Melbourne SE,-38.14891511569981,145.1913512162121
West Oval,,,,Melbourne SE,-38.07724742238396,145.13189125168927
East Oval,,,,Melbourne SE,-38.07674762618019,145.13347962398814
Frankston Football Club,,,,Melbourne SE,-38.14740501158342,145.12116948130736
McCartney Oval,,,,Geelong & Bellarine,-38.33602266267524,144.3148246069133
GMHBA Stadium,,,,Geelong & Bellarine,-38.15810696140531,144.35460267490583
