name,addr:postcode,operator,website,_region,latitude,longitude,sa2_code,sa2_name,sa3_name,region,irsd_decile,irsd_score
Oval 2,,,,Melbourne NE,-37.638425819170024,145.02271838644668,209041433,Epping (Vic.) - West,Whittlesea - Wallan,Greater Melbourne,4.0,990.9834587
Surrey Park Football Club,,,,Melbourne NE,-37.8274776346566,145.11645920555893,207031163,Box Hill,Whitehorse - West,Greater Melbourne,4.0,991.0009738
J A Loughnan Oval,,,,Melbourne NE,-37.83136840361731,145.02605533794494,206071517,Richmond (South) - Cremorne,Yarra,Greater Melbourne,10.0,1105.849271
Ringwood Secondary College Oval,,,,Melbourne NE,-37.814921853277,145.2398230277305,211031266,Ringwood,Maroondah,Greater Melbourne,6.0,1014.491436
Pitcher Park,,,,Melbourne NE,-37.77372328872961,145.02859087278648,206021110,Alphington - Fairfield,Darebin - South,Greater Melbourne,9.0,1070.172346
South East Oval,,,,Melbourne NE,-37.778077850949984,145.04870384774043,209011200,Ivanhoe,Banyule,Greater Melbourne,9.0,1085.470248
Wadhurst Oval,,,,Melbourne NE,-37.833692963909456,144.9748540294025,206041125,South Yarra - West,Melbourne City,Greater Melbourne,10.0,1102.807847
Ben Frilay Oval,,,,Melbourne NE,-37.639660344601715,145.18934761309663,209031210,Hurstbridge,Nillumbik - Kinglake,Greater Melbourne,9.0,1068.054539
TB Garvey Oval,,,,Melbourne NE,-37.689211461259994,145.0671613073502,209011196,Bundoora - East,Banyule,Greater Melbourne,6.0,1023.552441
Russell Lucas Oval,,,,Melbourne NE,-37.82359233360639,145.2329907310435,211031266,Ringwood,Maroondah,Greater Melbourne,6.0,1014.491436
Montrose Oval,,,,Melbourne NE,-37.81317750149301,145.34435014056078,211051280,Montrose,Yarra Ranges,Greater Melbourne,9.0,1068.191081
Shane Warne Oval,,,,Melbourne NE,-37.94697747395194,145.01815270508052,208011173,Sandringham - Black Rock,Bayside,Greater Melbourne,10.0,1093.9807
Peter Ferrie Oval,,,,Melbourne NE,-37.84162379976835,145.03873084714965,208041194,Malvern - Glen Iris,Stonnington - East,Greater Melbourne,10.0,1097.641343
Mount Waverley Reserve,,,,Melbourne NE,-37.87251021561403,145.1352280423971,212051323,Mount Waverley - North,Monash,Greater Melbourne,9.0,1064.561604
W. J. Cox Oval,,,,Melbourne NE,-37.7952072780041,145.0055172033667,206071145,Clifton Hill - Alphington,Yarra,Greater Melbourne,10.0,1094.355915
H. H. Olney Oval,,,,Melbourne NE,-37.794895370649456,145.007410978177,206071145,Clifton Hill - Alphington,Yarra,Greater Melbourne,10.0,1094.355915
Sir Arthur Rylah Oval,,,,Melbourne NE,-37.8038878255687,145.0101041356911,207011522,Kew - West,Boroondara,Greater Melbourne,9.0,1080.938503
Keith Anderson Oval,,,,Melbourne NE,-37.81475795783834,145.06760820843792,207011147,Balwyn,Boroondara,Greater Melbourne,8.0,1063.831087
Huskisson Recreation Reserve- Sportsfield,,,,Melbourne NE,-37.662122760245175,145.00841828640347,209041530,Lalor - West,Whittlesea - Wallan,Greater Melbourne,2.0,919.2516177
Brighton Beach Oval,,,,Melbourne NE,-37.92854644153782,144.99100976434545,208011169,Brighton (Vic.),Bayside,Greater Melbourne,10.0,1100.743601
Woodfull-Miller Oval,,,,Melbourne NE,-37.835198241340315,144.99406080672665,206061515,South Yarra - North,Stonnington - West,Greater Melbourne,10.0,1090.427398
Strathewen Oval,,,,Melbourne NE,-37.53411070778862,145.26889963368853,209031212,Panton Hill - St Andrews,Nillumbik - Kinglake,Greater Melbourne,10.0,1086.43613
Olympic Park Oval,3000,,,Melbourne NE,-37.82463862869922,144.98126967810228,206041119,East Melbourne,Melbourne City,Greater Melbourne,10.0,1107.378731
