sa2_code,sa2_name,sa3_name,region,population,venue_count,venues_per_10k,irsd_decile,irsd_score
206011496,Brunswick - South,Brunswick - Coburg,Greater Melbourne,12983.0,1,0.7702380035430948,9.0,1067.952995
206011497,Coburg - East,Brunswick - Coburg,Greater Melbourne,12535.0,0,0.0,6.0,1026.526142
206011498,Coburg - West,Brunswick - Coburg,Greater Melbourne,14031.0,0,0.0,7.0,1041.542236
206021110,Alphington - Fairfield,Darebin - South,Greater Melbourne,8994.0,1,1.11185234600845,9.0,1070.172346
206021112,Thornbury,Darebin - South,Greater Melbourne,18919.0,0,0.0,7.0,1047.557059
206021499,Northcote - East,Darebin - South,Greater Melbourne,15068.0,0,0.0,8.0,1064.408477
206021500,Northcote - West,Darebin - South,Greater Melbourne,10299.0,0,0.0,9.0,1080.33078
206031113,Ascot Vale,Essendon,Greater Melbourne,15191.0,0,0.0,6.0,1015.11708
206031115,Flemington,Essendon,Greater Melbourne,9065.0,0,0.0,2.0,928.8322554
206031116,Moonee Ponds,Essendon,Greater Melbourne,16224.0,2,1.232741617357002,9.0,1067.226639
206031501,Essendon (West) - Aberfeldie,Essendon,Greater Melbourne,16042.0,2,1.2467273407305821,9.0,1073.070064
206031502,Essendon - East,Essendon,Greater Melbourne,12191.0,0,0.0,9.0,1070.653516
206041117,Carlton,Melbourne City,Greater Melbourne,16655.0,0,0.0,3.0,961.8718414
206041118,Docklands,Melbourne City,Greater Melbourne,15493.0,0,0.0,7.0,1043.508033
206041119,East Melbourne,Melbourne City,Greater Melbourne,4896.0,3,6.127450980392156,10.0,1107.378731
206041120,Flemington Racecourse,Melbourne City,Greater Melbourne,77.0,0,0.0,10.0,1119.247992
206041121,Kensington (Vic.),Melbourne City,Greater Melbourne,10745.0,0,0.0,7.0,1043.905895
206041124,Parkville,Melbourne City,Greater Melbourne,7297.0,6,8.222557215293957,8.0,1055.299155
206041125,South Yarra - West,Melbourne City,Greater Melbourne,6423.0,3,4.670714619336758,10.0,1102.807847
206041127,West Melbourne - Industrial,Melbourne City,Greater Melbourne,,0,,,
206041503,Melbourne CBD - East,Melbourne City,Greater Melbourne,9848.0,0,0.0,5.0,995.2892405
206041504,Melbourne CBD - North,Melbourne City,Greater Melbourne,16870.0,0,0.0,3.0,960.9227089
206041505,Melbourne CBD - West,Melbourne City,Greater Melbourne,15648.0,0,0.0,5.0,993.6997709
206041506,North Melbourne,Melbourne City,Greater Melbourne,15637.0,1,0.6395088571976721,4.0,980.6817516
206041507,Royal Botanic Gardens Victoria,Melbourne City,Greater Melbourne,,1,,,
206041508,Southbank (West) - South Wharf,Melbourne City,Greater Melbourne,6463.0,0,0.0,8.0,1055.400819
206041509,Southbank - East,Melbourne City,Greater Melbourne,16101.0,0,0.0,8.0,1052.284565
206041510,West Melbourne - Residential,Melbourne City,Greater Melbourne,7446.0,0,0.0,7.0,1045.856116
206051128,Albert Park,Port Phillip,Greater Melbourne,15825.0,1,0.631911532385466,9.0,1084.273674
206051129,Elwood,Port Phillip,Greater Melbourne,14818.0,0,0.0,9.0,1083.043669
206051130,Port Melbourne,Port Phillip,Greater Melbourne,16192.0,0,0.0,8.0,1051.752335
206051134,St Kilda East,Port Phillip,Greater Melbourne,15813.0,0,0.0,9.0,1066.215276
206051511,Port Melbourne Industrial,Port Phillip,Greater Melbourne,1907.0,4,20.97535395909806,9.0,1083.802364
206051512,South Melbourne,Port Phillip,Greater Melbourne,11693.0,0,0.0,6.0,1028.574206
206051513,St Kilda - Central,Port Phillip,Greater Melbourne,11857.0,0,0.0,7.0,1047.36467
206051514,St Kilda - West,Port Phillip,Greater Melbourne,13858.0,2,1.443209698369173,8.0,1051.681882
206061135,Armadale,Stonnington - West,Greater Melbourne,9336.0,0,0.0,10.0,1088.849208
206061136,Prahran - Windsor,Stonnington - West,Greater Melbourne,19119.0,0,0.0,9.0,1075.863969
206061138,Toorak,Stonnington - West,Greater Melbourne,12953.0,0,0.0,10.0,1104.407271
206061515,South Yarra - North,Stonnington - West,Greater Melbourne,11192.0,2,1.7869907076483202,10.0,1090.427398
206061516,South Yarra - South,Stonnington - West,Greater Melbourne,9939.0,0,0.0,6.0,1030.256844
206071139,Abbotsford,Yarra,Greater Melbourne,9088.0,0,0.0,9.0,1077.085689
206071140,Carlton North - Princes Hill,Yarra,Greater Melbourne,8186.0,0,0.0,10.0,1086.918761
206071141,Collingwood,Yarra,Greater Melbourne,9179.0,0,0.0,3.0,961.8584353
206071142,Fitzroy,Yarra,Greater Melbourne,10431.0,0,0.0,4.0,978.8306873
206071143,Fitzroy North,Yarra,Greater Melbourne,12781.0,0,0.0,9.0,1066.295397
206071145,Clifton Hill - Alphington,Yarra,Greater Melbourne,9855.0,2,2.0294266869609334,10.0,1094.355915
206071517,Richmond (South) - Cremorne,Yarra,Greater Melbourne,17671.0,1,0.5658989304510215,10.0,1105.849271
206071518,Richmond - North,Yarra,Greater Melbourne,13867.0,0,0.0,4.0,976.8882926
207011146,Ashburton (Vic.),Boroondara,Greater Melbourne,7952.0,0,0.0,9.0,1081.646793
207011147,Balwyn,Boroondara,Greater Melbourne,16163.0,2,1.2373940481346286,8.0,1063.831087
207011148,Balwyn North,Boroondara,Greater Melbourne,21123.0,1,0.47341760166643,9.0,1075.439172
207011149,Camberwell,Boroondara,Greater Melbourne,21232.0,0,0.0,10.0,1096.586184
207011150,Glen Iris - East,Boroondara,Greater Melbourne,16829.0,0,0.0,10.0,1116.466336
207011152,Hawthorn East,Boroondara,Greater Melbourne,15684.0,0,0.0,10.0,1091.299531
207011154,Kew East,Boroondara,Greater Melbourne,6482.0,0,0.0,10.0,1087.164618
207011155,Surrey Hills (West) - Canterbury,Boroondara,Greater Melbourne,15944.0,0,0.0,10.0,1102.563671
207011519,Hawthorn - North,Boroondara,Greater Melbourne,9890.0,2,2.0222446916076846,10.0,1087.65006
207011520,Hawthorn - South,Boroondara,Greater Melbourne,11957.0,0,0.0,10.0,1087.425206
207011521,Kew - South,Boroondara,Greater Melbourne,11601.0,0,0.0,10.0,1100.029836
207011522,Kew - West,Boroondara,Greater Melbourne,13039.0,1,0.7669299792928905,9.0,1080.938503
207021156,Bulleen,Manningham - West,Greater Melbourne,11289.0,0,0.0,7.0,1047.254961
207021157,Doncaster,Manningham - West,Greater Melbourne,24814.0,1,0.4029983074071089,6.0,1027.430129
207021159,Templestowe,Manningham - West,Greater Melbourne,16966.0,0,0.0,9.0,1074.214121
207021160,Templestowe Lower,Manningham - West,Greater Melbourne,14191.0,0,0.0,8.0,1054.914594
207021424,Doncaster East - North,Manningham - West,Greater Melbourne,15672.0,1,0.6380806533945891,8.0,1058.853944
207021425,Doncaster East - South,Manningham - West,Greater Melbourne,15454.0,0,0.0,6.0,1030.450797
207031161,Blackburn,Whitehorse - West,Greater Melbourne,22106.0,1,0.45236587351850177,9.0,1068.999185
207031162,Blackburn South,Whitehorse - West,Greater Melbourne,10939.0,0,0.0,8.0,1054.322939
207031163,Box Hill,Whitehorse - West,Greater Melbourne,22841.0,1,0.4378092027494418,4.0,991.0009738
207031164,Box Hill North,Whitehorse - West,Greater Melbourne,18126.0,0,0.0,7.0,1041.343586
207031165,Burwood (Vic.),Whitehorse - West,Greater Melbourne,12336.0,1,0.8106355382619974,5.0,1009.557361
207031166,Burwood East,Whitehorse - West,Greater Melbourne,10675.0,0,0.0,6.0,1030.762513
207031167,Surrey Hills (East) - Mont Albert,Whitehorse - West,Greater Melbourne,10166.0,0,0.0,10.0,1095.749409
208011168,Beaumaris,Bayside,Greater Melbourne,14021.0,0,0.0,10.0,1108.397189
208011169,Brighton (Vic.),Bayside,Greater Melbourne,22758.0,1,0.43940592319184457,10.0,1100.743601
208011170,Brighton East,Bayside,Greater Melbourne,16540.0,0,0.0,10.0,1089.867406
208011171,Highett (West) - Cheltenham,Bayside,Greater Melbourne,12439.0,0,0.0,9.0,1070.683551
208011172,Hampton,Bayside,Greater Melbourne,18200.0,1,0.5494505494505495,9.0,1074.188169
208011173,Sandringham - Black Rock,Bayside,Greater Melbourne,17358.0,2,1.1522064754003918,10.0,1093.9807
208021174,Bentleigh - McKinnon,Glen Eira,Greater Melbourne,24896.0,0,0.0,9.0,1069.137684
208021176,Carnegie,Glen Eira,Greater Melbourne,18534.0,0,0.0,8.0,1061.976588
208021177,Caulfield - North,Glen Eira,Greater Melbourne,22362.0,0,0.0,9.0,1085.276452
208021178,Caulfield - South,Glen Eira,Greater Melbourne,18075.0,0,0.0,9.0,1085.871116
208021179,Elsternwick,Glen Eira,Greater Melbourne,11904.0,0,0.0,9.0,1085.318729
208021180,Hughesdale,Glen Eira,Greater Melbourne,7563.0,0,0.0,8.0,1050.905204
208021181,Murrumbeena,Glen Eira,Greater Melbourne,9369.0,0,0.0,9.0,1077.272163
208021182,Ormond - Glen Huntly,Glen Eira,Greater Melbourne,13128.0,0,0.0,9.0,1065.524777
208021426,Bentleigh East - North,Glen Eira,Greater Melbourne,16583.0,0,0.0,9.0,1067.371455
208021427,Bentleigh East - South,Glen Eira,Greater Melbourne,14057.0,0,0.0,9.0,1075.519861
208031183,Aspendale Gardens - Waterways,Kingston,Greater Melbourne,8853.0,0,0.0,9.0,1079.533794
208031184,Braeside,Kingston,Greater Melbourne,,0,,,
208031185,Carrum - Patterson Lakes,Kingston,Greater Melbourne,12032.0,2,1.6622340425531914,7.0,1042.978764
208031186,Chelsea - Bonbeach,Kingston,Greater Melbourne,15204.0,0,0.0,7.0,1043.144851
208031187,Chelsea Heights,Kingston,Greater Melbourne,5393.0,0,0.0,7.0,1047.687206
208031188,Highett (East) - Cheltenham,Kingston,Greater Melbourne,24085.0,0,0.0,7.0,1046.949595
208031189,Edithvale - Aspendale,Kingston,Greater Melbourne,13563.0,0,0.0,9.0,1073.466352
208031190,Mentone,Kingston,Greater Melbourne,13197.0,1,0.7577479730241722,8.0,1060.694497
208031191,Moorabbin - Heatherton,Kingston,Greater Melbourne,9116.0,1,1.0969723562966214,8.0,1047.778202
208031192,Moorabbin Airport,Kingston,Greater Melbourne,,0,,,
208031193,Mordialloc - Parkdale,Kingston,Greater Melbourne,21199.0,1,0.47172036416812113,9.0,1072.088028
208041194,Malvern - Glen Iris,Stonnington - East,Greater Melbourne,20239.0,1,0.4940955580809328,10.0,1097.641343
208041195,Malvern East,Stonnington - East,Greater Melbourne,21923.0,0,0.0,10.0,1087.718941
209011196,Bundoora - East,Banyule,Greater Melbourne,9831.0,2,2.034381039568711,6.0,1023.552441
209011197,Greensborough,Banyule,Greater Melbourne,20807.0,0,0.0,9.0,1069.736734
209011198,Heidelberg - Rosanna,Banyule,Greater Melbourne,16039.0,1,0.6234802668495543,9.0,1075.343426
209011199,Heidelberg West,Banyule,Greater Melbourne,14852.0,0,0.0,3.0,961.7445145
209011200,Ivanhoe,Banyule,Greater Melbourne,12458.0,1,0.8026970621287526,9.0,1085.470248
209011201,Ivanhoe East - Eaglemont,Banyule,Greater Melbourne,7740.0,0,0.0,10.0,1117.616022
209011202,Montmorency - Briar Hill,Banyule,Greater Melbourne,16539.0,2,1.2092629542293971,9.0,1079.754949
209011203,Viewbank - Yallambie,Banyule,Greater Melbourne,18733.0,0,0.0,9.0,1066.268801
209011204,Watsonia,Banyule,Greater Melbourne,9236.0,0,0.0,7.0,1046.297617
209021205,Kingsbury,Darebin - North,Greater Melbourne,10408.0,1,0.9607993850883936,5.0,1011.573923
209021428,Preston - East,Darebin - North,Greater Melbourne,20711.0,0,0.0,5.0,1003.524952
209021429,Preston - West,Darebin - North,Greater Melbourne,12696.0,0,0.0,7.0,1034.295536
209021523,Reservoir - North East,Darebin - North,Greater Melbourne,14795.0,0,0.0,4.0,973.9242317
209021524,Reservoir - North West,Darebin - North,Greater Melbourne,9801.0,0,0.0,3.0,964.122016
209021525,Reservoir - South East,Darebin - North,Greater Melbourne,12799.0,0,0.0,3.0,958.1040502
