stop_id,stop_name,stop_lat,stop_lon,mode,mode_folder
26171,Footscray Rail Replacement Bus Stop,-37.80132924,144.901341,train,1
26245,North Melbourne Rail Replacement Bus Stop,-37.80678123,144.94270106,train,1
26254,Pakenham Rail Replacement Bus Stop,-38.08006493,145.48503364,train,1
26263,Richmond Rail Replacement Bus Stop,-37.82486644,144.98957471,train,1
26282,Southern Cross Rail Replacement Bus Stop,-37.81743698,144.95326534,train,1
26289,Sunbury Rail Replacement Bus Stop,-37.57902248,144.72844185,train,1
26290,Sunshine Rail Replacement Bus Stop,-37.7890493,144.83284051,train,1
26304,Watergardens Rail Replacement Bus Stop,-37.70072556,144.77430593,train,1
26500,Broadmeadows Station,-37.68265393,144.92019123,train,1
26506,East Pakenham Station,-38.08441991,145.50702944,train,1
26507,East Pakenham Station,-38.08433911,145.50705389,train,1
26508,Footscray Station,-37.80171835,144.90244301,train,1
26509,Footscray Station,-37.80188848,144.90238141,train,1
26524,Southern Cross Station,-37.81672149,144.95202416,train,1
26525,Southern Cross Station,-37.81829376,144.95123094,train,1
26526,Southern Cross Station,-37.81804582,144.95096515,train,1
26529,Sunbury Station,-37.5792207,144.72797158,train,1
26530,Sunshine Station,-37.78832897,144.83287291,train,1
26531,Sunshine Station,-37.78837275,144.8328035,train,1
26532,Sunshine Station,-37.78841569,144.83268869,train,1
26533,Sunshine Station,-37.7883581,144.83249733,train,1
27882,Berwick,-38.03884125,145.34451932,train,1
27883,Berwick,-38.03861333,145.34305454,train,1
43469,Wendouree Station,-37.53973228,143.81999895,train,1
44951,Creswick Station,-37.42460539,143.88812365,train,1
44952,Clunes Station,-37.30273815,143.78201108,train,1
44953,Maryborough Station,-37.05090849,143.74240234,train,1
47482,Talbot Station,-37.17184115,143.70614796,train,1
47641,Waurn Ponds Station,-38.21595887,144.3064372,train,1
47642,Epsom Station,-36.70675355,144.3209245,train,1
47647,Wyndham Vale Station,-37.87288647,144.60873191,train,1
