name,addr:postcode,operator,website,_region,latitude,longitude,dist_train_m,score_train,dist_tram_m,score_tram,dist_bus_m,score_bus,accessibility_score,sa2_name,sa3_name,region,irsd_decile,irsd_score
Bundoora Junior Football Club,,,,Melbourne NE,-37.704333,145.0650438,1735.741929426351,0.0,764.9112800544414,72.5147866575931,150.55770600548487,100.0,46.8,Bundoora - East,Banyule,Greater Melbourne,6.0,1023.552441
Alex S Gillon Oval,,,,Melbourne NE,-37.76382715179721,144.95118751787152,844.5466066142844,94.43167417321445,631.4374634984647,94.76042275025588,163.17104602406863,100.0,95.9,Brunswick - South,Brunswick - Coburg,Greater Melbourne,9.0,1067.952995
Punt Road Oval,,,,Melbourne NE,-37.82213522571409,144.98811738234514,121.34106938129258,100.0,222.9787452155968,100.0,154.6337159906426,100.0,100.0,East Melbourne,Melbourne City,Greater Melbourne,10.0,1107.378731
Frearson Oval,,,,Melbourne NE,-37.91341585435478,145.13778719757335,1931.8288022141573,0.0,6825.621952024576,0.0,298.19141473557113,100.0,25.0,Clayton (North) - Notting Hill,Monash,Greater Melbourne,4.0,981.2724921
University Oval,,,,Melbourne NE,-37.79439238027928,144.96171213292706,633.8647077392438,100.0,337.5680640593597,100.0,342.64726941917024,100.0,100.0,Parkville,Melbourne City,Greater Melbourne,8.0,1055.299155
Glenferrie Oval,,,https://en.wikipedia.org/wiki/Glenferrie_Oval,Melbourne NE,-37.820629594102876,145.03289789752893,314.8023180952964,100.0,244.14139083490468,100.0,547.2184228827622,63.19539427930945,90.8,Hawthorn - North,Boroondara,Greater Melbourne,10.0,1087.65006
Oval #2,,,,Melbourne NE,-37.866366247383844,145.2481601090768,3185.6637160996847,0.0,5917.471584028782,0.0,447.02637345750225,88.24340663562444,22.1,Wantirna South,Knox,Greater Melbourne,7.0,1046.404549
Oval #1,,,,Melbourne NE,-37.86498095073669,145.24861980671585,3035.6148576765886,0.0,5930.677504815432,0.0,298.0104182353939,100.0,25.0,Wantirna South,Knox,Greater Melbourne,7.0,1046.404549
Bob Saker Oval,,,,Melbourne NE,-37.84241713029938,145.16326586808344,2605.925449442481,0.0,1296.1845718090904,0.0,186.98182069371936,100.0,25.0,Forest Hill,Whitehorse - East,Greater Melbourne,6.0,1021.469554
Western Oval,,,,Melbourne NE,-37.778090766295044,144.95306643609817,345.2555155641429,100.0,309.0723788817251,100.0,223.48692880216873,100.0,100.0,Parkville,Melbourne City,Greater Melbourne,8.0,1055.299155
